Company Name,Space,Business Model,About the Business,Stage,Action Date,Existing Investors,Investor Discussions,Sourcing,Ecosystem_Notes,Internal_Notes,Discussion
Fairdeal,Consumer,Enabler,B2B quick-commerce platform supplying wholesale FMCG and grocery essentials to local Kirana stores,A,15-03-2026,"Gemba,Waterbridge",06-12-2026,Investor,,15,
Finbox,Fintech,Fintech Infra,Digital credit infrastructure platform that provides B2B APIs and embedded finance software for lenders and fintechs,B,,"Arali,WestBridge",06-05-2026,Investor,,14,checked
Foxtale,Consumer,D2C,D2C scientific skincare brand formulating high-performance face and body care products,B,,Kae,5/27/2026,Investor,,,checked
Freed,Fintech,Credit score,"Consumer debt relief platform that helps individuals in India resolve, consolidate, and settle unmanageable retail loans and credit card debt",Pre-B,15-07-2026,Sorin,05-04-2026,Investor,"4,45",4,checked
Gobblecube,AI SAAS,AI SAAS,AI-powered B2B revenue monitoring and data analytics platform for consumer brands to manage e-commerce and quick-commerce operations,A,01-01-2027,Kae,5/27/2026,Investor,,,checked
Hectar,B2B Commerce,Marketplace,Agritech and B2B cross-border marketplace that digitizes the international supply chain for bulk agricultural commodities,A,15-12-2026,Powerhouse,11/14/2025,Investor,,,
Holidaytribe,Consumer,Travel,"AI-first travel-tech platform that generates and books highly personalized, custom international and domestic holiday itineraries for Indian leisure travelers",Seed,,Powerhouse,11/14/2025,Investor,,,
Inamo,Consumer,Enabler,"A full-stack quick-commerce enablement platform providing full-scale digital infrastructure, automated order management, and dark store fulfillment networks for consumer categories like apparel, footwear, pet care, baby care, and FMCG.",A,,"Gemba,Antler,Prime,Shastra",06-12-2026,Investor,,20,
Intelliwings,AI,AI SAAS,"An AI-powered compliance technology provider that develops automated anti-money laundering (AML) and counter-terrorist financing (CFT) software solutions including PEP databases, sanction lists, adverse media filtering, and transaction screening engines",Seed,,Dallas VC,04-03-2026,Investor,,,
Kapiva,Consumer,D2C,"A modern Ayurveda and wellness brand that blends ancient medicinal traditions with modern science to offer health supplements, nutrition powders, and herbal juices",D,,Vertex,6/17/2026,,,,
Khetika,Consumer,D2C,"A clean-label, farm-to-fork food and consumer staples brand that manufactures and supplies zero-preservative, stone-ground, and single-origin whole and powdered spices, dry fruits, fresh staples, and ready-made batters",B,,Anicut,05-05-2026,Investor,,,
Knot,Consumer,Quick Commerce,"A financial technology developer platform providing automated card-on-file switching and user account management APIs that manage subscription updates, saved payment credentials, and password change automation for financial institutions",A,,Kae,5/27/2026,Investor,,,
Licious,Consumer,D2C," A direct-to-consumer (D2C) food and meat brand that delivers fresh, high-quality meat, seafood, and associated ready-to-cook products using a stringent controlled cold-chain supply network",F,,Vertex,6/17/2026,,,,
LightfuryGames,Gaming,AAA Gaming,"A heavily backed, next-gen AAA game-tech studio founded by industry veterans from EA and Ubisoft",A,,Gemba,06-12-2026,Investor,,8,
Mave Health,Health,D2C,"A neurotechnology healthcare startup manufacturing non-invasive brain-stimulation headsets and mental health wearables designed to alleviate depression, reduce stress, and improve cognitive focus",A,,Allin,6/15/2026,Investor,,,
Mojro,AI SAAS,AI SAAS,"An AI-driven SaaS platform providing automated logistics optimization software including last-mile routing engines, 3D load-building algorithms, and continuous secondary distribution planners",Seed,,Dallas VC,"4/3/2026,7/10/2026",Investor,,,
Mowito,Deeptech,Robotics,"A robotics-native automation firm building off-the-shelf software navigation solutions including autonomous path-planning algorithms, ROS2-based vehicle-control systems, and spatial indoor mapping layers for mobile warehouse robots.",Seed,,Allin,6/15/2026,Investor,,,
MyDesignation,Consumer,D2C,"A D2C pop-culture fashion and apparel brand specializing in premium street-style graphic oversized t-shirts, hoodies, casual Cuban-collar shirts, and winter jackets",A,,Veltis,06-12-2026,Investor,,3,
Navadhan,Fintech,Lending,"A rural-focused tech-financing platform providing alternative credit solutions to under-banked micro-enterprises and smallholders, covering product categories like working capital loans (eN-cash), non-credit finance options (eN-dhan), and digital co-lending infrastructures.",A,,Gemba,06-12-2026,Investor,,9,
Neemans,Consumer,D2C,"A direct-to-consumer footwear brand focused on comfort similar to Skechers; manufacturing eco-friendly daily footwear categories including merino wool sneakers, recycled plastic shoes, lightweight cotton loafers, and casual slippers",B,,"Anicut,Sixth Sense,Sharrp",05-05-2026,Investor,,,checked
Novatr,Consumer,Edtech," A technology-focused edtech platform offering specialized upskilling programs for architecture, engineering, and construction (AEC) professionals, covering categories like Building Information Modeling (BIM), computational design, and green building software tools",A,,Powerhouse,11/14/2025,Investor,,,
Nprep,Consumer,Edtech,"An AI-powered skilling and edtech platform engineered specifically for the healthcare workforce, delivering curriculum categories such as nursing entrance exam prep, clinical skill modules, and localized placement-focused test videos",Seed,,Allin,6/15/2026,Investor,,,
Oivi,Health,Med Device,"A healthcare medtech startup developing intelligent point-of-care diagnostics hardware and software, specifically automated fundus cameras and AI-driven retinal screening engines to detect early-stage diabetic retinopathy",Seed,,Arali,06-05-2026,Investor,,32,
Palmonas,Consumer,D2C,"A direct-to-consumer jewelry startup operating in the affordable luxury sector, specializing in premium demi-fine jewelry made with hypoallergenic metals and gold plating",B,15-04-2027,"Vertex,Xponentia",6/17/2026,,,,checked
Pazy,Fintech,AI SAAS,"An AI-native B2B business payments operating platform providing unified accounting tools, automated accounts payable (AP) workflows, and real-time ERP ledger synchronization software",Seed,,Gemba,06-12-2026,Investor,,,
Pibit,AI,AI SAAS,"An insurtech software provider delivering an automated data extraction and parsing platform (CURE™) designed for commercial underwriting categories like loss run reporting, data extraction, and rapid insurance policy risk analysis",A,01-01-2027,Arali,06-05-2026,Investor,,,
Piersight,Deeptech,Space,"A deep-tech maritime surveillance firm deploying persistent space-based radar imaging services, focusing on global ocean intelligence categories like illegal fishing tracking, oil spill detection, and shipping logistics monitoring",A,,Allin,"6/15/2026,7/21/2026",Investor,,,
Piligrim,Consumer,D2C,"A clean-label, multi-category digital beauty brand formulating vegan personal care items across categories like Korean-ingredient face serums, anti-dandruff shampoos, hair growth oils, and lip care",B,,Anicut,05-05-2026,Investor,,,
Pratilipi,Consumer,Platform,"A digital self-publishing and storytelling platform hosting multi-format regional content categories including online web novels, serialized audiobooks, digital comic books (comics), and podcast series",D,,Gemba,06-12-2026,Investor,,17,
Procureyard,B2B Commerce,Marketplace,"An industrial procurement and B2B marketplace platform providing enterprise software for supply chain categories such as automated vendor management, digital RFQ routing, and bulk material bidding engines",A,25-06-2026,Powerhouse,"3/1/2026,6/25/2026",Investor,,6,
Recommercex,B2B Commerce,Full stack,"A tech-enabled circular economy marketplace providing transparent supply networks for sustainable materials, specifically recycled polymers, industrial plastic scraps and scrap metals",B,,Kae,5/27/2026,Investor,,,
Requip,B2B Commerce,Marketplace,B2B commerce marketplace for refurbished pre-owned machinery for textile sector ,Seed,,Kae,5/27/2026,Investor,,,checked
Rupeek,Fintech,Lending,A secured lender of gold loans - both on book and off book,F,15-06-2026,"Kae,Bertelsmann,Lightbox,Elevation",5/27/2026,Investor,,31,
SFO technologies,B2B Commerce,Manufacturing,"A diversified engineering and ODM plus solutions manufacturer providing end-to-end hardware and software production across industrial categories like aerospace components, digital electronics, fibre optics, radiofrequency (RF) systems, and power supplies",D,,Anicut,05-05-2026,Investor,,,
Shoption,B2B Commerce,Commerce,"A B2B agritech marketplace for heavy farm mechanization categories like drip irrigation pipelines, automated seeders, sprinklers, and heavy-duty water pumps",A,,Gemba,06-12-2026,Investor,12,12,
ShowroomB2B,B2B Commerce,Marketplace," A tech-enabled wholesale apparel marketplace optimizing the domestic fashion supply chain by providing unorganized garment retailers direct factory access to unbranded menswear, ethnic womenswear, kidswear, and fabric textiles.",A,,Gemba,06-12-2026,Investor,10,10,
Simplismart,AI,AI Infra,"An AI infrastructure software platform providing a no-code dev-ops layer to quickly train, optimize, and deploy heavy enterprise AI workflows across categories like Generative AI models, large language model (LLM) orchestration, and computer vision pipelines",A,,"Dallas VC,Accel,Shastra,IQ",04-03-2026,Investor,,,checked
Snapmint,Fintech,Lending,"A consumer-focused BNPL platform + market place to purchase products (electronics, fashion, home goods) on EMI ",B,,Kae,5/27/2026,Investor,,,
SuperK,Consumer,Retail,A data-driven retail franchise network providing complete digital inventory tracking and supply infrastructure to transform tier-2 and tier-3 neighborhood grocery stores into branded mini-supermarkets and organized retail outlets,B,,Veltis,06-12-2026,Investor,,2,
Superliving,Health,AI,"An AI-powered preventive lifestyle platform targeting mass-market consumer households with low-cost, gamified courses and visual tracking tools spanning nutrition planning, fitness workouts, stress management, and daily habit coaching.",A,,"Allin,Kae,Lightspeed",6/15/2026,Investor,,35,
Supernova,Consumer,AI EdTech,AI tutor for language learning (English),A,15-06-2026,"Allin,Kae",6/15/2026,Investor,,,
Sybill,AI,AI SAAS,"An AI-native revenue intelligence and sales enablement software platform that automatically records and analyzes commercial meetings to deliver automated CRM data entry, sales call transcripts, and visual customer engagement scores",A,,Powerhouse,11/14/2025,Investor,,,
Taakat,Health,D2C,"A tier-2 and tier-3 market fitness aspiration brand specializing in affordable, nutrient-dense consumer nutrition categories like high-protein hunger bars, energy bars, and clean meal supplements",Seed,,Allin,6/15/2026,Investor,,,
TAE,Consumer,D2C,"A global direct-to-consumer holistic health and beauty platform manufacturing traditional, science-backed ancient Ayurvedic formulations across categories like facial oils, moisturizing creams, herbal hair serums, and clean cosmetics",C,,Anicut,05-05-2026,Investor,,,
Traya,Consumer,D2C,"A clinical-grade D2C hair care brand that is consultancy led. The solutions comprise of categories like targeted hair growth serums, Ayurvedic scalp oils, topical Minoxidil solutions, and internal gut supplements",B,,Kae,5/27/2026,Investor,,,
Troovy,Consumer,D2C,"A clean-label, direct-to-consumer children's food nutrition brand manufacturing healthy snacks from ancient grains, specializing in millet-based instant pasta, protein-rich vegetable chips, chemical-free dipping sauces, and jaggery spreads",Pre-A,15-06-2026,"Veltis,Fireside,Sharrp","6/12/2026,8/3/2026",Investor,,,
Unbox Robotics,Deeptech,Robotics,"An industrial-grade logistics and warehouse automation technology company designing autonomous physical warehouse layers like robotic sortation systems, automated conveyor belts, and intelligent fulfillment tracking hardware",B,,"Arali,ICICI Ventures,Force Ventures,3One4,Navam",06-05-2026,Investor,,,checked
Uniqus,AI,AI led services,"A tech-enabled global professional services firm delivering specialized corporate advisory, accounting, and compliance programs across business categories like ESG reporting frameworks, cross-border accounting standards, and transaction advisory",C,,Sorin,4/30/2026,Investor,,,
Vunet,AI,AI SAAS,"An AI-driven transaction monitoring and observability software platform tailored for enterprise digital payment rails, focusing on automated software categories like real-time transaction tracking, IT system alerts, and financial fraud anomaly detection",B,01-07-2027,"Dallas VC,Mela,Pravega,Athera","4/3/2026,7/13/2026",Investor,,,
XYXX,Consumer,D2C,"A premium direct-to-consumer men's innerwear and lifestyle apparel brand engineering comfort-first daily wardrobe essentials across categories like micro-modal underwear, anti-bacterial lounge t-shirts, casual track pants, and breathable socks",C,,"Anicut,Sauce,DSG,Singularity",05-05-2026,Investor,,,checked
Zippee,Consumer,Logistics,"A technology-led physical fulfillment provider enabling direct-to-consumer brands to offer rapid delivery via localized networks, operating micro-warehousing infrastructure like urban dark stores, same-day dispatch software, and last-mile courier tracking dashboards",A,,Veltis,06-12-2026,Investor,,21,
Nuuk,Consumer,D2C,"A design-first D2C consumer electronics and home appliances brand that manufactures minimalist, modern household products tailored for contemporary spaces. Their expanding SKU lineup operates across five core categories—fans (e.g., LĪT wireless rechargeable table fans), vacuum cleaners (e.g., REN PRO cord-free models), kitchen essentials (such as BRĪSK toxin-free ceramic air fryers and DRIP cold press juicers), garment care (like travel steamers), and room heaters",B,15-06-2027,"Vertex,Good Capital",6/17/2026,Investor,,,checked
Anveshan,Consumer,D2C,"A natural foods brand operating in the healthy FMCG category, offering minimally processed kitchen essentials. Their SKUs include variety packs of wood-pressed oils (groundnut, coconut, mustard), A2 desi ghee, raw wild forest honey, and organic superfood flours like Khapli atta",B,15-12-2026,Vertex,6/17/2026,Investor,,,
Wishlink,Consumer,Commerce,"A content-driven social commerce platform operating in the creator tech and e-commerce enablement category. They offer customized digital storefront software and analytics tools across product categories like fashion, beauty, personal care, and home decor",B,,Vertex,6/17/2026,Investor,,,
Elivaas,Consumer,Commerce,A luxury vacation rental and property management company operating in the alternate accommodation and hospitality sector,B,15-12-2026,Vertex,6/17/2026,Investor,,,
Metafin,Fintech,Lending,"An electric vehicle (EV) charging infrastructure and energy management platform operating in the CleanTech and automotive tech sector. Their SKUs and categories span hardware product listings like AC and DC fast chargers for 2-wheelers, 3-wheelers, and cars, alongside cloud-based EV fleet and charging network management software",A,15-06-2026,Vertex,6/17/2026,Investor,,,
Wintwealth,Fintech,Wealth,"An investment platform operating in the digital wealth management and retail FinTech sector. Their primary financial product offerings include accessible, fractionalized fixed-income SKUs such as senior secured corporate bonds and high-yield debt instruments",B,15-12-2026,Vertex,6/17/2026,Investor,,,
Kiwi cards,Fintech,Credit Cards,A consumer payments fintech company operating in the credit and digital banking space. They specialize strictly in a unified RuPay credit card portfolio that allows users to earn rewards while making payments directly over UPI,B,,Vertex,6/17/2026,Investor,38,,
Spyne,AI,AI SAAS,"An AI-led image processing SaaS company operating in the automotive tech and digital studio category. They provide automated product SKUs such as smartphone 360-degree car photography apps, virtual AI backgrounds, and automated image editing suites specifically for used-car dealerships and marketplaces",A,15-09-2026,Vertex,6/17/2026,Investor,,,checked
Attentive.AI,AI SAAS,AI SAAS,AI led B2B SaaS platform helping general construction contractors and landscaping contractors  to bid for projects faster using geospatial AI,B,,Vertex,6/17/2026,Investor,,,checked
Certa,AI,AI SAAS,"An enterprise software provider operating in the governance, risk, and compliance (GRC) SaaS sector. Their platform features digital workflow categories for third-party risk management, supplier onboarding automation, and compliance tracking",B,,"Vertex,Kae",6/17/2026,Investor,,,
Big Endian Semiconductor,Deeptech,Semiconductors,"A fabless chip design startup operating in the semiconductor and deeptech hardware category. They specialize in custom System-on-Chip (SoC) designs and microprocessors primarily targeting the enterprise surveillance camera, edge AI, IoT, and telecom sectors",A,15-09-2026,Vertex,6/17/2026,Investor,,,checked
Hakimo,AI,AI SAAS,"An enterprise software company operating in the AI-driven physical security and monitoring category. Their core product line features automated software integrations that use computer vision to filter false alarms from security sensors, detect tailgating events, and monitor access control systems",A,15-12-2026,"Vertex,Rocketship",6/17/2026,Investor,,,checked
Kazam,B2B Commerce,Manufacturing,"An electric vehicle (EV) charging infrastructure and energy management platform operating in the CleanTech and automotive tech sector. Their SKUs and categories span hardware product listings like AC and DC fast chargers for 2-wheelers, 3-wheelers, and cars, alongside cloud-based EV fleet and charging network management software",B,01-09-2026,Vertex,6/17/2026,Investor,,,
Ambak,Fintech,Lending,Digital marketplace and tech platform for home loans and property mortgages,A,22-06-2026,"Atrium,Z47,PeakXV,Quona",6/22/2026,Investor,,,
Legend of Toys,Consumer,D2C,"Character-led mass-premium toy brand specializing in RC cars, drones, and action figures",Pre-A,01-01-2027,"Atrium,Enzia",6/22/2026,Investor,,,
Axitrust,Fintech,Marketplace,Fintech digital infrastructure provider for insurance-backed corporate surety bonds,Seed,,"Atrium,General Catalyst",6/22/2026,Investor,,,
Jewelbox,Consumer,D2C, D2C omnichannel consumer brand for lab-grown diamond jewellery,A,22-06-2026,"Atrium,V3",6/22/2026,Investor,,,
Puresta,Consumer,D2C,AI-powered full-stack dermatology diagnostics and product platform,Pre-A,01-12-2026,"Atrium,Spring Capital",6/22/2026,Investor,,,checked
Earthful,Consumer,D2C,"Clean-label, plant-based preventive nutrition and women's health supplements",Pre-A,01-01-2027,"Atrium,Fireside,V3",6/22/2026,Investor,,,
Cumin,Consumer,D2C,Toxin-free enamel-coated cast iron and ceramic cookware and kitchen tools,Pre-A,22-09-2026,"Atrium,Fireside","6/22/2026,8/3/2026",Investor,,,
EDT Life,Consumer,D2C," Premium D2C smart home, kitchen, and personal care appliances brand ",Seed,22-06-2026,"Atrium,Sauce",6/22/2026,Investor,,,
Betterhood,Health,D2C,"Science-backed preventive posture support, orthotic tools, and chronic pain care products",Seed,,"Atrium,Sauce",6/22/2026,Investor,,,
Truva,Consumer,Marketplace,Full-stack proptech intelligence platform for verified resale housing,A,01-02-2027,"Stellaris,Atrium",6/22/2026,Investor,,,
Homerun,B2B Commerce,Marketplace,"Hyperlocal B2B quick-commerce platform delivering construction, renovation, and home-improvement materials to contractors and homeowners within 60 to 90 minutes",B,,"Atrium,Sorin,Nexus,Sparrow","5/4/2026,6/22/2026,6/22/2026",Investor,,,checked
Nexedge,Fintech,Wealth,Wealth management platform and advisory services for ultra-high-net-worth (UHNW) families,B,01-01-2027,,6/22/2026,Ecosystem,,,
Ongrid,Fintech,AI SAAS," Digital identity trust layer, background screening, and employee lifecycle verification system",A,01-07-2026,,6/22/2026,Ecosystem,,,
GoKwik,Fintech,Fintech Infra,"E-commerce enabler offering checkout, fraud detection, conversion tracking, and return-to-origin solutions",C,22-06-2026,"Sparrow,RTP,PeakXV,Think Investments",6/22/2026,Investor,,,checked
Apnamart,B2B Commerce,Retail,Omnichannel mini-supermarket franchise chain combining neighborhood retail with 15-minute quick delivery ,B,22-06-2026,"Accel,Fundamentum,PeakXV,Sparrow",6/22/2026,Investor,,,
Circlehealth,Health,Services,Preventive digital healthtech and physical clinical health diagnostics network,A,01-01-2027,"Enzia,Sparrow,Good Capital",6/22/2026,Investor,,,checked
Furnishka,Consumer,D2C,Direct-to-consumer premium solid wood home furniture manufacturer and showroom retail brand,Pre-A,01-10-2026,"Sparrow,IQ,Beenext","6/22/2026,8/18/2026",Investor,,,
Aukera,Consumer,D2C,Premium lab-grown diamond jewellery brand operating across digital platforms and experience showrooms,B,01-10-2026,"Sparrow,PeakXV,Fireside,Prath",6/22/2026,Investor,,,checked
Prosparity,Fintech,Lending,"ProsParity is a digital, full-stack electric vehicle (EV) financing platform. Founded in Mumbai in late 2023 by financial services veterans Saurabh Khodke and Anirudh Dhakar, the company has raised $2.34 million across its Seed funding rounds to simplify credit flow in India's booming EV sector",Seed,,"Sparrow,Beenext,Allin,DeVC,Huddl",6/22/2026,Investor,,,
Superhealth,Health,Infrastructure,Next-generation smart hospital chain featuring open fixed-pricing and no doctor commissions,A,22-06-2026,"Panthera Peak,Boundless,Sparrow",6/22/2026,Investor,,,
Docube,Health,Infrastructure,Docube Healthcare is an innovative healthtech company that operates a clinical co-working network,A,,"Atrium,Gemba,Enzia",6/22/2026,Investor,,,
Manav Robotics,Deeptech,Robotics,Deep-tech industrial automation platform developing AI-powered dexterous robotic hands and wearable data-capture contact gloves for factory applications,Seed,01-01-2027,Atrium,6/22/2026,Investor,,,
FatakPay,Fintech,Lending,"A digital-first financial wellness and consumer credit platform providing instant personal loans, virtual credit cards, and digital gold investments via B2C and B2B corporate tie-ups",Pre-A,22-06-2026,,07-01-2026,Ecosystem,"24,27",,
Olyv,Fintech,Lending,"AI-driven digital financial platform offering personal credit, UPI payments, and insurance distribution to underserved users ",C,22-06-2026,Fundamentum,6/22/2026,Investor,,,
Niyo,Fintech,Credit Cards," Neobanking and travel fintech platform offering zero-forex debit/credit cards, digital savings/salary accounts, and integrated visa/flight travel services ",C,,"Accel,Lightrock,Prime,Multiples",,Ecosystem,"25,26",,
Wint Wealth,Fintech,Marketplace,A wealthtech platform offering corporate bonds and securitised debt instruments,B,,"Vertex,3One4",,Ecosystem,44,,
Yubi,Fintech,Marketplace,"Corporate debt marketplace and applied-AI operating system connecting enterprises with institutional credit, underwriting, and collections ",D,,"PeakXV,Lightspeed,Insight,Dragoneer",6/22/2026,Ecosystem,,,
Goodscore,Fintech,Credit score,AI-driven consumer financial health management application providing personalized credit score insights and lending marketplace integrations,A,,"PeakXV,TDV,Stellaris",6/22/2026,Investor,"28,29,30",,
Zet,Fintech,Credit Cards,A financial product distribution engine offering agent-led banking referrals and FD-backed credit cards,A,,"General Catalyst,Nexus",,Ecosystem,,,
Zype,Fintech,Lending,"A digital NBFC offering instant small-ticket personal loans and algorithmic financial wellness tools,",B,,,,Ecosystem,,23,
Knight Fintech,Fintech,Fintech Infra, A core banking infrastructure provider powering co-lending operating layers and treasury balance sheet software,A,,,,Ecosystem,,24,
Dovetail,Fintech,Fintech Infra,A capital markets infrastructure provider enabling exchange derivative clearing and fund administration software,B,,,,Investor,,,checked
Solarsquare,Fintech,Lending,A residential cleantech provider delivering rooftop solar setups and consumer financing solutions,C,,,,Ecosystem,42,,
Plum Insurance,Fintech,Distributor,An employee health benefits and corporate insurtech platform offering automated group health coverage and telehealth services,B,,Gemba,06-12-2026,Ecosystem,"32,33,34,11,51",11,
Transbnk,Fintech,Fintech Infra,An open-finance open API transaction banking infrastructure platform powering escrow management and corporate cash flows,B,,,,Ecosystem,,26,checked
Slice,Fintech,Lending,"A consumer fintech turned fully licensed small finance bank that provides digital bank accounts, MSME credit lines, and merchant payments",F,,,,Ecosystem,,,
Univest,Fintech,Wealth,"An AI-backed investment ecosystem delivering real-time stock recommendations, portfolio optimization, and exit indicators",A,,,,Ecosystem,41,,
Stablemoney,Fintech,Wealth,"A wealthtech platform allowing retail investors to compare, track, and book bank fixed deposits and fixed-income bonds",B,,"Fundamentum,PeakXV",,Ecosystem,,27,
Scapia,Fintech,Credit Cards,A travel-fintech provider issuing dual-network co-branded travel rewards credit cards with zero-forex markups,C,,,,Ecosystem,40,,
Sahi,Fintech,Wealth,"An AI-led, pro-grade mobile trading and stockbroking platform",B,,,,Ecosystem,36,,
Jar,Fintech,Wealth,A micro-savings app helping users automatically invest spare change into digital gold and physical jewellery,B,,"Tiger Global,Arkam",,Ecosystem,35,,
Bureau,Fintech,Enabler,"An identity verification, risk decisioning, and fraud prevention software engine",B,,,,Ecosystem,37,,
Hyperverge,Fintech,Enabler,A computer-vision and automated digital onboarding platform providing real-time AI KYC/KYB solutions globally,Seed,,NEA,,Ecosystem,39,,checked
Signzy,Fintech,Enabler,A no-code identity compliance automation stack providing biometric risk intelligence and electronic bank guarantees,B,,,,Ecosystem,,30,
Finarkein,Fintech,Enabler,"An open-finance data intelligence pipeline built on top of India's Account Aggregator, OCEN, and ONDC frameworks",Pre-A,,"Nexus,Infoedge,Eximius",,Ecosystem,43,,
DPD zero,Fintech,Collection,An AI-driven debt collection and recovery software stack for lenders,A,,"SMBC,Blume,GMO","6/22/2026,7/1/2026",Ecosystem,,,checked
Credgenics,Fintech,Collection,"An end-to-end AI-powered loan collection, legal automation, and debt resolution SaaS platform for banks and NBFCs",B,,"WestBridge,Accel,Tanglin,Titan,Beams Fintech",07-01-2026,Ecosystem,,29,
Cashfree,Fintech,Payments,"A payment aggregation and payout infrastructure platform facilitating online, cross-border, and UPI-switch payments",C,,Krafton,6/22/2026,Ecosystem,,,
Easebuzz,Fintech,Payments,A full-stack merchant payment aggregation processor integrated with a vertical SaaS B2B billing layer,A,,"Bessemer,8i",,Ecosystem,,28,
Trackk ,Fintech,Wealth,"A Gen Z-focused digital stock trading and investing application utilizing single-screen dashboards,",Seed,,"Lightspeed,Infoedge",,Ecosystem,,25,
Agnikul Cosmos,Deeptech,Full stack,"Indian space-tech startup that designs, manufactures, and launches customizable, 3D-printed small satellite launch vehicles to provide on-demand orbital insertion",C,01-12-2026,"Java,Speciale,Beenext","6/25/2026,7/2/2026",Investor,,36,
Lightspeed Photonics,Deeptech,Full stack,Develops next-generation optical interconnects and modular optoelectronic processors to eliminate data bandwidth bottlenecks in AI and high-performance computing (HPC) infrastructure,Pre-A,,Java,6/25/2026,,,,
Satleo Labs,Deeptech,Full stack,Space startup building a Low Earth Orbit (LEO) satellite constellations equipped with proprietary AI-powered thermal imaging payloads for real-time climate and agriculture intelligence,Seed,01-01-2027,"Java,Merak,Huddl,Unicorn Ventures","6/25/2026,7/24/2026",,,,
Oolka,Fintech,Credit score,AI-first fintech startup that helps everyday users fix their bad credit scores and rebuild financial health,A,01-12-2026,"Lightspeed,Z47,Accel,8i",,Ecosystem,"46,31",,
Vyapar,Fintech,AI SAAS,"Business accounting and GST billing software platform designed for MSMEs to manage invoicing, inventory, payment tracking, and tax filing.",B,,"WestBridge,IQ,Axilor,Dharana",05-01-2026,,47,,checked
HouseEazy,Consumer,Marketplace,"Full-stack proptech marketplace that facilitates fast, transparent resale transactions of secondary residential properties. Its core offerings/SKUs are verified ready-to-move secondary home listings",B,01-01-2027,"Accel,Chiratae,Antler","5/1/2026,7/24/2026",,,,checked
Inspecity,Deeptech,Full stack,"Deeptech spacetech platform developing technologies for satellite life-extension, in-orbit logistics, and space debris mitigation.",Seed,01-05-2026,"Speciale,Anicut,Shastra,Antler,DeVC",05-01-2026,,,,
Navo,B2B Commerce,Marketplace,AI-driven B2B digital fashion wholesale marketplace that democratizes rapid trend sourcing for tier-2 and tier-3 apparel retailers,Pre-A,,"IQ,DeVC,Bharat Founders Fund,Antler",05-01-2026,,,,
BazaarNow,Consumer,Marketplace,Vernacular-first quick-commerce startup built by former Zepto executives explicitly to bring sub-10-minute grocery delivery to smaller city clusters,A,,"PeakXV,Whiteboard,Antler",05-01-2026,,,,
Pixxel,Deeptech,Manufacturing, An aerospace technology company building a global health monitor for Earth using a constellation of hyperspectral imaging satellites,B,01-07-2026,"Lightspeed,Blume,Google",07-01-2026,Investor,,,
Ati Motors,Deeptech,Manufacturing,An industrial deep-tech robotics manufacturer that designs autonomous mobile hardware solutions to optimize factory and warehouse cargo logistics,A,01-07-2026,"Athera,Blume,Exfinity,True",07-01-2026,Investor,,,checked
Procol,AI SAAS,AI SAAS,An enterprise software company that provides AI-powered procurement infrastructure and digital B2B marketplace solutions to automate company spending,A,,"PeakXV,Blume,GMO,Beenext,Rainmatter","7/1/2026,7/2/2026",,,,
Optimized Electrotech,Deeptech,Manufacturing,"A defense intelligence technology contractor that manufactures high-end, AI-powered electro-optic surveillance systems for long-range threat detection",A,01-02-2027,"Exfinity,Blume,Mela","7/1/2026,7/13/2026",,,,checked
